,Ess,sess,ans1,ans2
118,0,0,0.347824094,0
119,0,0,0.023616476,0
120,0,0,0.060102212,0
121,0,0,4.21724932,0
122,0,0,0,0
123,0,0,0.134358204,0
124,0,0,0.500711956,0
125,0,0,0.157005081,0
126,0,0,0.888982458,0
127,0,0,0.036797623,0
128,0,0,3.684189068,0
129,0,0,0.084681529,0
130,0,0,0,0
131,0,0,0.552781889,0
132,0,0,0,0
133,0,0,0,0
134,0,0,0,0
135,0,0,1.330803765,0
136,0,0,0.1660187,0
137,0,0,0.26995966,0
138,0,0,0,0
139,0,0,0.034584556,0
140,0,0,0.267632576,0
141,0,0,0,0
142,0,0,2.614925437,0
143,0,0,0.937750976,0
144,0,0,0,0
145,0,0,0.11167555,0
146,0,0,0.161314364,0
147,0,0,0.17251341,0
148,0,0,0.780662131,0
149,0,0,1.228436367,0
150,0,0,0,0
151,0,0,0,0
152,0,0,0.002160996,0
153,0,0,0,0
154,0,0,0,0
155,0,0,2.114786562,0
156,0,0,0.189251954,0
157,0,0,0.237053809,0
158,0,0,0.141247746,0
159,0,0,0,0
160,0,0,0.274816133,0
161,0,0,0,0
162,0,0,0,0
163,0,0,0,0
164,0,0,0.092244296,0
165,0,0,0.485328683,0
166,0,0,0.14410466,0
167,0,0,0,0
168,0,0,0,0
169,0,0,0,0
170,0,0,1.943385248,0
171,0,0,0,0
172,0,0,0,0
173,0,0,0,0
174,0,0,0,0
175,0,0,0,0
176,0,0,0.05051814,0
177,0,0,0.682190748,0
178,0,0,0,0
179,0,0,0,0
180,0,0,0,0
181,0,0,0,0
182,0,0,0.162287984,0
183,0,0,0,0
184,0,0,0,0
185,0,0,0,0
186,0,0,0,0
187,0,0,0,0
188,0,0,0.173500403,0
189,0,0,0,0
190,0,0,0,0
191,0,0,0,0
192,0,0,0,0
193,0,0,0.065445318,0
194,0,0,0,0
195,0,0,0.272034481,0
196,0,0,0.033515007,0
197,0,0,0.055151604,0
198,0,0,1.10487545,0
199,0,0,0.287489443,0
200,0,0,0,0
201,0,0,0.250554191,0
202,0,0,0.064727246,0
203,0,0,0,0
204,0,0,0.089381916,0
205,0,0,0,0
206,0,0,0,0
207,0,0,0,0
208,0,0,0,0
209,0,0,0,0
210,0,0,0.192876186,0
211,0,0,0,0
212,0,0,0,0
213,0,0,0.212014212,0
214,0,0,0,0
215,0,0,0,0
216,0,0,0,0
217,0,0,0.13053354,0
218,0,0,0,0
219,0,0,0,0
220,0,0,0,0
221,0,0,0,0
222,0,0,0,0
223,0,0,0,0
224,0,0,0.013347742,0
225,0,0,0.037938759,0
226,0,0,0.398363773,0
227,0,0,0,0
228,0,0,0,0
229,0,0,0.035208632,0
230,0,0,0.081097743,0
231,0,0,0.045892323,0
232,0,0,0,0
233,0,0,0,0
234,0,0,0.028558863,0
235,0,0,0,0
236,0,0,0.066873587,0
237,0,0,0,0
238,0,0,0.058932186,0
239,0,0,0,0
240,0,0,0.312485903,0
241,0,0,0,0
242,0,0,0.009484887,0
243,0,0,0,0
244,0,0,0,0
245,0,0,0,0
246,0,0,0.117293721,0
247,0,0,0.099717824,0
248,0,0,0.140988259,0
249,0,0,0,0
250,0,0,0,0
251,0,0,0,0
252,0,0,0.088830095,0
253,0,0,0,0
254,0,0,0,0
255,0,0,0.147958289,0
256,0,0,0.1021045,0
257,0,0,0.09653449,0
258,0,0,0.493171362,0
259,0,0,0.148396631,0
260,0,0,0,0
261,0,0,0,0
262,0,0,0,0
263,0,0,0.108080467,0
264,0,0,0,0
265,0,0,0,0
266,0,0,0,0
267,0,0,0,0
268,0,0,0,0
269,0,0,0.019090018,0
270,0,0,0,0
271,0,0,0,0
272,0,0,0.184768197,0
273,0,0,0.039107584,0
274,0,0,0.116365581,0
275,0,0,0,0
276,0,0,0.200714561,0
277,0,0,0,0
278,0,0,0,0
279,0,0,0.388869099,0
280,0,0,0,0
281,0,0,0,0
282,0,0,0.932774971,0
283,0,0,0,0
284,0,0,0,0
285,0,0,0.809015381,0
286,0,0,0,0
287,0,0,0,0
288,0,0,0.021472215,0
289,0,0,0,0
290,0,0,0,0
291,0,0,0,0
292,0,0,0,0
293,0,0,0,0
294,0,0,0,0
295,0,0,0.060060743,0
296,0,0,0,0
297,0,0,0,0.080221981
298,0,0,0,0
299,0,0,0,0
300,0,0,0,0
301,0,0,0,0
302,0,0,0,0
303,0,0,0.733626806,0.127184693
304,0,0,0,0
305,0,0,0,0
306,0,0,0.801834437,0
307,0,0,0.168144016,0
308,0,0,0.011616251,0
309,0,0,0,0
310,0,0,0,0
311,0,0,0.377954999,0
312,0,0,0,0
313,0,0,0.191444424,0
314,0,0,0.191538554,0
315,0,0,0,0
316,0,0,0.23334419,0
317,0,0,0,0
318,0,0,0,0
319,0,0,0.360842682,0
320,0,0,0,0
321,0,0,0.157716351,0
322,0,0,0,0
323,0,0,0.019107766,0
324,0,0,1.924936894,0.318440084
325,0,0,0,0
326,0,0,0,0
327,0,0,0,0
328,0,0,0,0
329,0,0,0.297861262,0
330,0,0,0.341464324,0
331,0,0,0.145593959,0
332,0,0,0,0
333,0,0,0.304932801,0
334,0,0,0,0
